escuela,lng,lat,amount
Copilco - Sector Juegos,19.33914219,-99.17841733,0
Sax,38.53869991,-0.8640575409,0
Jérica,39.90873221,-0.5753016472,171
Las Chilcas,-32.851588,-70.87512553,2
Corbera Bloc,39.16023125,-0.3592443466,61
Los Galayos,40.25848689,-5.171813965,0
Zakrzówek,50.0399704,19.91469383,0
Nuestra Señora de la Peña,37.60158425,-7.202739716,4
Antiguo cauce del Río Turia,39.46872438,-0.3624039888,1
La Mola de Montesa,38.95208356,-0.6575703621,140
Peñón de Ifach,38.63470692,0.07570266724,17
Rabtejn,49.94818234,17.15025902,0
La Marxuquera,38.9871677,-0.2293395996,136
Aventador,38.96497312,-0.4889988899,52
La Foradà,38.50122005,-0.6735885143,49
Castillo de Peñíscola,40.35742261,0.4085165262,34
Cuchillo,39.5362849,-0.7646334171,43
Peña María,39.59958758,-0.8541870117,22
Puig Campana,38.57846262,-0.2081608772,20
Salem,38.85294344,-0.3713679314,152
Benicadell,38.83262076,-0.4123306274,14
Sacs,42.62009679,0.5338454247,0
Cova de la Petxina,38.95680584,-0.4874324799,38
Travesía urbana Parque Cinquantenaire,50.84097119,4.392900467,0
Suesca,5.101203145,-73.79164696,1
La Calera,4.704919971,-73.98373604,0
El Peñol,6.209844903,-75.185709,0
Urcunina,1.327510301,-77.01398849,0
Siurana,41.25782346,0.9318852425,156
Peña Ginesta,41.27163803,1.920198798,33
Toconao,-23.18991583,-67.993505,0
Albarracín,40.38777581,-1.406550407,182
Chulilla,39.6574142,-0.8925533295,259
Buñol Sierra de Malacara,39.41593851,-0.8048343658,124
La Cala,36.7138283,-4.317854941,0
Cap d'Or - Moraira,38.68830689,0.1535511017,10
Otura,43.25647118,-5.882470608,44
Barranco Fondo,38.95307226,-0.4937571287,113
Terres Neuves,50.84255313,4.347410202,0
La Mojarra,6.78326208,-73.05908203,0
Peña Rubia,38.60417773,-0.7988262177,53
Penyes de Guaita,39.65097121,-0.3257703781,36
Elbsandsteingebirge,50.917476,14.154268,0
Pared Negra,38.10003753,-0.9447062016,9
Barranc de l'Avern,38.79536972,-0.6103795767,216
Peñón el Divino,38.60885603,-0.2717399597,7
Castellet,40.02368324,-0.05753338337,95
Cuchillar de Contreras,39.51365925,-1.502144337,2
Bérnia,38.65548816,-0.04428863525,2
Tallat Roig,39.14444009,-0.3708529472,93
Penya Ramiro,39.80711844,-0.7171154022,14
Pego,38.83248703,-0.1441955566,28
Bovedón,38.97295597,-0.230884552,43
Peña de la Cruz,40.36616583,-5.78741312,181
La Cantera o El Molló,39.56309263,-0.6316870451,0
Montanejos,40.07173351,-0.5267000198,240
Barranquet de Ferry,38.70266,-0.498266,37
Freyr,50.22609629,4.892435074,0
San Vito lo Capo,38.14923879,12.73525715,0
La Pedriza,40.72413656,-3.885598183,181
Torrelodones,40.58416989,-3.928813934,10
La Silla-El Escorial,40.56765995,-4.15514946,0
Patones - Pontón de la Oliva,40.88280943,-3.442411423,404
Turbón,42.42043108,0.5217647552,1
Valeria - Hoz del río Gritos,39.7848946,-2.146196365,293
El Picayo,38.86024549,-0.7205057144,26
Margalef,41.29683221,0.7789993286,102
Sestret,39.69230327,2.635495663,27
Peñas de Marín,38.49570345,-0.8283305168,110
Toledo,39.853661,-4.020012,52
Malpartida - Barruecos,39.41945281,-6.499636173,194
Leiva,37.89923963,-1.571388245,21
Bloques de la Cabrera,40.86601642,-3.613300323,105
El Vellón,40.778172,-3.627634,137
Bloques de Zarzalejo,40.5347094,-4.178774357,39
Castillo Peñas Negras,39.683791,-3.730803,20
Castillo de Bayuelas,40.10318744,-4.691505432,131
Guadalest,38.67607492,-0.1939022541,72
Sierra Helada,38.54064682,-0.07553100586,2
Sierra de Toix,38.63611487,0.01311063766,68
Peñalara,40.83964199,-3.956472874,95
Valdemanco,40.87118864,-3.657224178,115
El Altet,38.95810733,-0.4890632629,36
Sporting,-33.02294969,-71.53743267,0
Castellet de Polop,38.62676153,-0.1534223557,34
Cueva de la Azohía,37.55883314,-1.161396503,0
Roca Oceánica,-32.94124967,-71.55392826,0
Covatelles,38.75329679,0.05737781525,14
Font d'Aixa,38.76869017,0.02815246582,17
L'Ocaive,38.77885299,0.01467704773,35
Alcalalí,38.75632554,-0.05132675171,37
La Murla,38.75831674,-0.05561828613,0
El Castellar,38.40756534,-6.436400414,0
Alange,38.78720801,-6.261734962,40
Las Monjas,40.19552797,-5.825242996,82
Villanueva de Cauche,36.94487579,-4.410023689,10
Cerro del Hierro,37.95800434,-5.615129471,0
El Turón,36.87683999,-4.848242998,0
Peñartea ó Aitzertea,42.66661205,-1.647391319,112
Etxauri,42.79820325,-1.829395294,617
Aiztondo,42.9261058,-1.960566044,13
Hampi,15.34320954,76.51848793,0
San Fausto,42.70971845,-2.061567307,0
Tozal de Mallo,42.66195735,-0.07377147675,0
Errekagaitzeta,42.84579658,-1.369900703,60
Mallos de Riglos,42.35090086,-0.7261276245,1
Barranc de Sanxet,38.67991517,-0.7088971138,48
La Laguna Negra,41.9983478,-2.84863472,0
El Batanejo,39.3398239,-2.087295055,38
Peñaguda,42.67714102,-2.027691007,11
Benabarre,42.10656474,0.486702919,0
El Hoyo de las Pavas,6.761698438,-73.09470177,0
Cabañas del Castillo,39.54747087,-5.511703491,16
Ferentillo,42.59049961,12.73727417,0
Grotti,42.34839526,12.95974731,39
Bauso Rosso,38.20884857,13.30856323,0
Balneario de Panticosa,42.76327189,-0.2346611023,16
Cala Magraner,39.48672065,3.287647963,67
San Bartolo (Placas),36.09214692,-5.723791122,0
Plaza Montolivet,39.45988758,-0.3599953651,0
El Portús,37.58147864,-1.068077087,0
Pikoketa,43.29957215,-1.818752289,26
Racó del Corb,38.6318574,0.01094341278,2
Agulles d´Engolasters,42.512791,1.565122,17
Cales Coves,39.864034,4.146129,16
Cavalleria,40.088973,4.08906,59
Gorg Blau,39.79745822,2.814559937,0
Aguilar de Anguita,41.040902,-2.410078,1
Donón,42.27240672,-8.862292171,0
Les Rotes,38.82257426,0.159355402,0
Garraf,41.24878354,1.890402138,2
Montroig,41.89671902,0.8401107788,1
Los Pinos,38.69052609,0.002295970917,15
Manzanera,40.06493518,-0.8980035782,0
Cap de Ras o Parets d'Àger,42.0402416,0.7939338684,122
El Atrafal (Requena),39.46250509,-1.061940193,24
Mascarat,38.63742223,0.006136894226,3
Morata de Jalón,41.49404955,-1.459293365,76
Mula,38.05904001,-1.487360001,143
Torreblanca,40.23341191,0.1702880859,21
Calcena,41.6489938,-1.722793579,0
Embid de Ariza,41.38466556,-1.971702576,30
Laguna del Duque,40.31147245,-5.709285736,0
Olta,38.65407221,0.02280950546,8
Picaio Redó,39.75639537,-0.3722476959,21
Myloi,35.33573082,24.50541258,0
Berdejo,41.56187135,-1.946811676,10
Arnedillo,42.21351658,-2.234344482,0
Huesa del Común,41.01513822,-0.922164917,5
El Chorro,36.91263691,-4.76282537,40
El Recuenco,41.72418055,-2.833828926,0
Las Pocilgas,41.91556322,-2.848205566,0
Barranco de la Hoz,40.82718962,-1.985778809,1
Torralba de los Frailes,41.03404611,-1.658248901,0
Olvena,42.10175689,0.2479219437,0
Redován,38.11756287,-0.9057873487,30
Rodellar,42.2836273,-0.08093833923,524
Fuentidueña,41.43859842,-3.977614045,0
Jameo Orzola,29.1741967,-13.44022751,0
Arbolí,41.24327186,0.9497594833,0
Serra del Cadí,42.28734191,1.659793854,1
Atxarte,43.1224786,-2.635409832,0
Aviados,42.86011148,-5.443167686,25
Forronías,42.72986552,-0.2707099915,0
Diedro de Hoz de Jaca,42.69066889,-0.3104066849,3
Ansó,42.8657736,-0.8191680908,0
Rapún,42.49146654,-0.3808307648,63
Ermita Virgen de la Nueva,40.40679732,-4.382472038,104
Barranco de Viana,41.0383838,-2.754178047,50
